1195;Основы менеджмента;2012-05-14 15:00:02.780
1566;Основы менеджмента инженерно-технической службы;2012-05-14 15:06:13.607
1381;Основы научных исследований;2012-05-14 15:05:05.047
1617;Основы педагогики и психологии;2012-05-14 15:08:29.230
1677;Основы программирования;2012-12-06 16:47:59.403
1822;Основы проектирования web-приложений;2013-04-24 13:01:53.883
1612;Основы проектирования и оборудование производств по переработке полимеров;2012-05-14 15:07:20.140
1439;Основы проектирования и оборудование производства полимеров;2012-05-14 15:05:07.903
1449;Основы проектирования и оборудования предприятий по переработке полимеров;2012-05-14 15:05:09.797
1340;Основы проектирования и эксплуатации технологического оборудования;2012-05-14 15:05:03.640
1725;Основы проектирования продукции;2013-01-14 14:46:37.840
1794;Основы проектирования установок предприятий отрасли;2013-04-08 14:01:48.770
1788;Основы путей сообщения (дороги);2013-04-03 13:56:39.287
1561;Основы САПР;2012-05-14 15:06:00.890
1287;Основы САПР и программные статистические комплексы;2012-05-14 15:05:01.327
1339;Основы сварочного производства;2012-05-14 15:05:03.640
1848;Основы систем управления ресурсами предприятия;2013-10-31 12:46:19.127
1690;Основы системного программного обеспечения;2012-12-18 16:08:18.983
1778;Основы теории катализа;2013-03-12 12:04:01.510
1506;Основы теории надёжности и диагностика;2012-05-14 15:05:15.030
1898;Основы теории отраслевых рынков;2013-12-19 10:58:31.763
1410;Основы теории управления;2012-05-14 15:05:06.060
1178;Основы теории цифровых систем управления;2012-05-03 13:19:17.143
1674;Основы теплотехнических измерений;2012-11-26 12:21:16.033
1438;Основы термодинамики и кинетики синтеза ВМС;2012-05-14 15:05:07.903
1802;Основы технической эксплуатации, обслуживания и ремонта;2013-04-09 13:48:26.277
1815;Основы технического регулирования;2013-04-16 12:39:01.183
1396;Основы технической эксплуатации автомобилей;2012-05-14 15:05:05.717
1935;Основы технической эксплуатации. Обслуживание и ремонт;2014-03-18 18:14:23.330
1327;Основы технологии машиностроения;2012-05-14 15:05:03.093
1939;Основы технологии производства и ремонта;2014-04-04 14:48:06.910
1336;Основы технологии производства и ремонта автомобилей;2012-05-14 15:05:03.547
1348;Основы технологической эксплуатации автомобилей;2012-05-14 15:05:04.000
1457;Основы трансляции;2012-05-14 15:05:10.390
1799;Основы трудового права;2013-04-08 16:18:14.943
1742;Основы управления разработкой программных систем;2013-01-22 15:25:20.663
1518;Основы хозяйственного права;2012-05-14 15:05:17.250
1899;Основы экономики и управления производством;2013-12-19 11:01:32.873
1229;Основы электронной коммерции;2012-05-14 15:04:59.437
1216;Отечественная история;2012-05-14 15:04:59.327
1664;Оформление и представление магистерских диссертаций;2012-07-19 09:41:32.520
1197;Оценка бизнеса;2012-05-14 15:00:02.827
1716;Пакеты прикладных инженерных программ;2012-12-27 18:28:40.943
1521;Патентоведение;2012-05-14 15:05:18.047
1607;Педагогика и психология высшей школы;2012-05-14 15:06:52.247
1542;Периферийные устройства;2012-05-14 15:05:29.607
1599;Планирование и организация эксперимента (КР);2012-05-14 15:06:51.030
1262;Планирование на предприятии;2012-05-14 15:05:00.327
1176;Планирование эксперимента;2012-05-03 12:38:38.753
1442;Поверхностные явления и дисперсные системы;2012-05-14 15:05:08.547
1820;Подъёмно-транспортное оборудование;2013-04-23 16:28:53.470
1210;Политология;2012-05-14 15:00:03.013
1753;Право;2013-01-29 16:29:26.587
1256;Правоведение;2012-05-14 15:05:00.123
1858;Правовое обеспечение отрасли;2013-12-02 15:41:00.003
1258;Правовые основы;2012-05-14 15:05:00.123
1559;Прикладная математическая статистика;2012-05-14 15:05:59.390
1355;Прикладная механика;2012-05-14 15:05:04.123
1723;Прикладная механика (детали машин);2013-01-10 15:44:08.280
1710;Прикладная механика (сопромат);2012-12-24 15:52:33.193
1471;Прикладная теория упругости;2012-05-14 15:05:11.903
